id	Kode Proses	Finish	Part Name	Part Number	Process Name	Process Description	Cust. Name	Line	CT/PCS	Pcs/Jam	Cavity	
	7024	FG-YMI-0304	Handle Bar	1YD-F6112-00	Knurling	Knurling	YIMM	HANDLE COMP ASSY	11.74	306.6439523	1	
	7025	FG-YMI-0304	BAR HANDLE	1YD-F6112-00	Bender	"Bending Roll + Pierce 1, 2 + Emboss 1, 2"	YIMM	HANDLE COMP ASSY	30	120	1	
	7026	FG-YMI-0239	Handle Comp	28D-F6110-00	Assy	Assy 1 - 4	YIMM	HANDLE COMP ASSY	114.2	31.52364273	1	
	7027	0	Handle Comp	28D-F6110-00-1	Final Check	Balancing + Check Insp. Jig + Gerinda + Visual + Touch Up + Marking	YIMM	HANDLE COMP CHECK	129.5	27.7992278	1	
	7028	FG-YMI-0239	Handle Comp	28D-F6110-00-1	Check After Assy	Check Visual + Buang Spatter + Marker + Packing	YIMM	HANDLE COMP ASSY	18.6	193.5483871	1	
	7029	FG-YMI-0239	Handle Comp	28D-F6110-00-1	Assy	Assy 3 & Assy 4	YIMM	HANDLE COMP ASSY	62.9	57.23370429	1	
	7030	FG-YMI-0239	Handle Comp	28D-F6110-00-1	Assy	Assy 1 & Assy 2	YIMM	HANDLE COMP ASSY	61.4	58.63192182	1	
	7031	0	Plate	2DP-E111F-00	Blank	Pierce Blank + Marking	YIMM	PRESSING 1	3.84	937.5	1	
	7032	0	"PLATE, 2DP"	2DP-E111F-00-00-80	Final Check	Check Visual + Marking + Packing	YIMM	CHECK FINISH	5	720	1	
	7033	0	Plate	2DP-E111F-00-00-R0	Final Check	Check Visual + Insp. Jig + Marking + Packing	YIMM	CHECK FINISH EXP	14.925	241.2060302	1	
	7034	0	Reinf Cross Member	2DP-F1467-00	Check After Assy	"Amplas, Cek Visual + Insp Packing"	YIMM	WELDING ROBOT	9.18	392.1568627	1	
	7035	0	REINF. CROSS MEMBER	2DP-F1467-00	Assy	Assy 1 ~ 2	YIMM	WELDING ROBOT	13.16666667	273.4177215	1	
	7036	0	CAP 2DP	2DP-F2117-00	Emboss Stamp & Champer	Emboss Stamp & Champer	YIMM	SPOT WELDING	12.9	279.0697674	1	
	7037	0	Cap	2DP-F2117-00	Machining	"Machining, Chamfer &kikir"	YIMM	SPOT WELDING	20	180	1	
	7038	FG-YMI-0766	CAP	2DPF2117100080	Final Check	CHEK JIG INSP + MARKING + PACKING (EXPORT)	YIMM	CHECK FINISH EXP	6	600	1	
	7039	FG-YMI-0766	CAP	2DPF2117100080	Final Check	CHEK JIG INSP + MARKING + PACKING	YIMM	CHECK FINISH	15	240	1	
	7040	FG-YMI-0766	CAP	2DPF2117100080	Final Check	CHEK JIG INSP + MARKING + PACKING (EXPORT)	YIMM	CHECK FINISH EXP	14.658	245.5996725	1	
	7041	FG-YMI-0310	"BRKT.,FUEL PUMP"	2DP-F4491-00	Forming	Forming 2	YIMM	PRESSING 1	7.003891051	514	1	
	7042	FG-YMI-0310	"BRKT.,FUEL PUMP"	2DP-F4491-00	Pierce	Pierce Trimming+ Pierce 4~Ø6	YIMM	PRESSING 1	8	450	1	
	7043	FG-YMI-0641	Handle Comp	2DP-F6110-00	Assy	Assy	YIMM	HANDLE COMP ASSY	32	112.5	1	
	7044	FG-YMI-0641	Handle Comp	2DP-F6110-00	Assy	Assy 2 Cavity / Set (2 Pcs)	YIMM	HANDLE COMP ASSY	29.51	121.9925449	1	
	7045	0	HANDLE COMP	2DP-F6110-00	Final Check	Check Insp. Jig + Visual + Marking + Packing After Plating	YIMM	HANDLE COMP CHECK	45	80	1	
	7046	FG-YMI-0365	Bracket Side Stand	2PH-F1458-00	Assy	Assy 1~ 3	YIMM	WELDING ROBOT	29	124.137931	1	
	7047	FG-YMI-0365	"BRKT.,SIDE STAND"	2PH-F1458-00	Assy	Assy 1-3	YIMM	WELDING UMUM	36	100	1	
	7048	FG-YMI-0365	"BRKT.,SIDE STAND"	2PH-F1458-00	Check After Assy	Check	YIMM	WELDING UMUM	36	100	1	
	7049	FG-YMI-0345	HANDLE COMP	2PH-F6110-00-00-80	Assy	Assy Weld 1 ~ 5	YIMM	HANDLE COMP ASSY	120	30	1	
	7050	FG-YMI-0345	HANDLE COMP	2PH-F6110-00-00-80	Final Check	Final Check	YIMM	HANDLE COMP CHECK	103	34.95145631	1	
	7051	FG-YMI-0345	HANDLE COMP	2PH-F6110-00-00-80	Assy	Assy Weld 1 ~ 3	YIMM	HANDLE COMP ASSY	80	45	1	
	7052	FG-YMI-0345	HANDLE COMP	2PH-F6110-00-00-80	Assy	Assy Weld 4 ~ 5	YIMM	HANDLE COMP ASSY	65.45454545	55	1	
	7053	FG-YMI-0595	HANDLE COMP	2PV-F6110-10	Final Check	Check Insp. Jig + Cleaning + Visual + Marking After Plating	YIMM	HANDLE COMP CHECK	58	62.06896552	1	
	7054	FG-YMI-0595	HANDLE COMP	2PV-F6110-10	Final Check	Cek By Insp. Jig	YIMM	HANDLE COMP CHECK	128.5714286	28	1	
	7055	FG-YMI-0595	HANDLE COMP	2PV-F6110-10-00-80	Assy	Assy 1 ~ 2	YIMM	HANDLE COMP ASSY	69	52.17391304	1	
	7056	FG-YMI-0595	Handle Comp	2PV-F6110-10-00-80	Assy	Assy 3 ~ 5	YIMM	HANDLE COMP ASSY	59	61.01694915	1	
	7057	FG-YMI-0595	Handle Comp	2PV-F6110-10-00-80	Check After Assy	Visual + Buang Spatter	YIMM	HANDLE COMP ASSY	9	400	1	
	7058	FG-YMI-0595	HANDLE COMP	2PV-F6110-10-00-80	Assy	Assy 1-5	YIMM	HANDLE COMP ASSY	144	25	1	
	7059	FG-YMI-0595	HANDLE COMP	2PV-F6110-10-00-80	Assy	Assy 3-5	YIMM	HANDLE COMP ASSY	144	25	1	
	7060	0	Holder Brake Hose 1	2SX-F5875-00-00-80	Final Check	Check Visual + Packing	YIMM	CHECK FINISH	5.52	652.173913	1	
